relative_week,0,1,treated_minus_control,period
-4,0.22801410105757933,0.23444288717589348,0.006428786118314156,pre
-3,0.22044653349001175,0.2231604765241766,0.002713943034164834,pre
-2,0.21024676850763807,0.21054660126138752,0.0002998327537494516,pre
-1,0.20117508813160986,0.20581639803784163,0.004641309906231766,pre
0,0.20122209165687427,0.2110021023125438,0.009780010655669524,post
1,0.18237367802585194,0.1966362999299229,0.01426262190407096,post
2,0.17245593419506464,0.18791170287316047,0.015455768678095838,post
3,0.1663924794359577,0.18227049754730204,0.015878018111344344,post
