time_bucket,customers,base_rate,mean_predicted,calibration_error,brier,roc_auc,pr_auc,evaluation_customers,evaluation_events,top_decile_customers,lift_at_10pct,capture_at_10pct,precision_at_10pct
2025-08-01,1668,0.15827338129496402,0.18220625449130742,0.023932873196343407,0.1118583299575499,0.7610641673141674,0.425073842200272,1668,264,167,3.405008165487208,0.3409090909090909,0.5389221556886228
2025-09-01,5318,0.21549454682211358,0.21770651023202645,0.002211963409912865,0.1450663021929757,0.7384579152297625,0.44534251363960603,5318,1146,532,2.4772533427810366,0.24781849912739964,0.5338345864661654
2025-10-01,4742,0.18768452129902993,0.20299299088903056,0.015308469590000623,0.12812657669523306,0.7613663411389967,0.43892209856348574,4742,890,475,2.793040804257836,0.2797752808988764,0.5242105263157895
